bank_txn_id,value_date,description,credit_paise,debit_paise,balance_paise,utr
BNK000001,2026-08-11,IMPS/RZP026028552/RAZORPAY/SETTLEMENT,1052214,,26052214,RZP026028552
BNK000002,2026-08-12,NEFT CR RAZORPAY SOFTWA RZP92045,2739378,,28791592,
BNK000003,2026-08-13,NEFT CR RAZORPAY SOFTWA RZP93003,2667386,,31458978,
BNK000004,2026-08-14,TRF FROM RAZORPAY SOFTWARE PVT LTD,2317418,,33776396,
BNK000005,2026-08-17,NEFT-RZP518327199-RAZORPAY SOFTWARE PRIVATE LIMITED,1930220,,35706616,RZP518327199
BNK000006,2026-08-17,NEFT CR-HDFC0000123-RAZORPAY SOFTWARE PVT LTD-RZP050925774,1503290,,37217406,RZP050925774
BNK000035,2026-08-17,NEFT-RZP924900549-RAZORPAY SOFTWARE PRIVATE LIMITED,385654,,37595560,RZP924900549
BNK000008,2026-08-18,TRF FROM RAZORPAY SOFTWARE PVT LTD,656963,,38252523,
BNK000036,2026-08-18,IMPS/RZP556335396/RAZORPAY/SETTLEMENT,257104,,38509627,RZP556335396
BNK000009,2026-08-19,TRF FROM RAZORPAY SOFTWARE PVT LTD,1573684,,40083311,
BNK000010,2026-08-20,IMPS/RZP993009321/RAZORPAY/SETTLEMENT,1101489,,41184800,RZP993009321
BNK000011,2026-08-21,NEFT CR RAZORPAY SOFTWA RZP33714,2357818,,43542618,
BNK000037,2026-08-22,NEFT RETURN-RZP993009321-BENEFICIARY ACCOUNT CLOSED,,1101489,42441129,
BNK000012,2026-08-24,NEFT-RZP205282144-RAZORPAY SOFTWARE PRIVATE LIMITED,792115,,43233244,RZP205282144
BNK000013,2026-08-24,NEFT CR-UTIB0000789-RAZORPAY SOFTWARE PVT LTD-RZP156795817,4124321,,47357565,RZP156795817
BNK000014,2026-08-24,IMPS/RZP942223418/RAZORPAY/SETTLEMENT,465561,,47823126,RZP942223418
BNK000031,2026-08-25,NEFT CR-UTIB-RAZORPAY SOFTWARE PVT LTD-RZP777477918,676698,,48499824,RZP777477918
BNK000016,2026-08-26,NEFT-RZP230421852-RAZORPAY SOFTWARE PRIVATE LIMITED,698281,,49198105,RZP230421852
BNK000032,2026-08-26,NEFT-RZP754954786-RAZORPAY SOFTWARE PRIVATE LIMITED,451132,,49649237,RZP754954786
BNK000017,2026-08-27,NEFT-CR-HDFC0000123-RZPYSETTL-RZP 1688 77116,489650,,50138887,
BNK000018,2026-08-31,ACH C- RAZORPAY SOFT PVT LTD-RZP613065895-COLLECT,1945088,,52083975,
BNK000019,2026-08-31,NEFT-RZP326904716-RAZORPAY SOFTWARE PRIVATE LIMITED,103484,,52187459,RZP326904716
BNK000020,2026-08-31,NEFT CR-ICIC0000456-RAZORPAY SOFTWARE PVT LTD-RZP259075839,1070010,,53257469,RZP259075839
BNK000021,2026-08-31,NEFT-RZP903289785-RAZORPAY SOFTWARE PRIVATE LIMITED,1560475,,54817944,RZP903289785
BNK000040,2026-08-31,NEFT CR-ICIC0000456-RAZORPAY SOFTWARE PVT LTD-RZP259075839,1070010,,55887954,RZP259075839
BNK000041,2026-08-31,NEFT-RZP903289785-RAZORPAY SOFTWARE PRIVATE LIMITED,1560475,,57448429,RZP903289785
BNK000022,2026-09-01,NEFT CR-ICIC0000456-RAZORPAY SOFTWARE PVT LTD-RZP821740812,1135513,,58583942,RZP821740812
BNK000039,2026-09-01,NEFT CR-ICIC0000456-RAZORPAY SOFTWARE PVT LTD-RZP821740812,1135513,,59719455,RZP821740812
BNK000023,2026-09-02,NEFT CR RAZORPAY SOFTWA RZP06135,3026718,,62777173,
BNK000024,2026-09-03,IMPS/RZP286424301/RAZORPAY/SETTLEMENT,1540620,,64286793,RZP286424301
BNK000025,2026-09-04,NEFT CR-UTIB0000789-RAZORPAY SOFTWARE PVT LTD-RZP245711852,1908020,,66194813,RZP245711852
BNK000038,2026-09-06,NEFT RETURN-RZP245711852-BENEFICIARY ACCOUNT CLOSED,,1908020,64286793,
BNK000027,2026-09-07,NEFT CR-UTIB0000789-RAZORPAY SOFTWARE PVT LTD-RZP609034878,1939449,,66226242,RZP609034878
BNK000028,2026-09-07,TRF FROM RAZORPAY SOFTWARE PVT LTD,1315614,,67541856,
BNK000033,2026-09-07,NEFT-RZP623355607-RAZORPAY SOFTWARE PRIVATE LIMITED,1210284,,68752140,RZP623355607
BNK000029,2026-09-08,NEFT-RZP860113262-RAZORPAY SOFTWARE PRIVATE LIMITED,436160,,69188300,RZP860113262
BNK000034,2026-09-08,IMPS/RZP413155093/RAZORPAY/SETTLEMENT,806857,,69995157,RZP413155093
BNK000030,2026-09-09,IMPS/RZP439409908/RAZORPAY/SETTLEMENT,2806180,,72801337,RZP439409908
