txn_id,txn_type,order_ref,gross_amount_paise,fee_paise,gst_on_fee_paise,net_amount_paise,txn_datetime,settlement_id,payment_method,status
pay_000194,payment,ORD4193,49999,1000,180,48819,2026-08-10T08:41:00,setl_0000,card,captured
pay_000078,payment,ORD4077,29950,599,108,29243,2026-08-10T09:16:00,setl_0000,card,captured
pay_000040,payment,ORD4039,399900,7998,1440,390462,2026-08-10T10:37:00,setl_0000,card,captured
pay_000260,payment,ORD4259,120050,2401,432,117217,2026-08-10T10:53:00,setl_0000,card,captured
pay_000079,payment,ORD4078,24999,450,81,24468,2026-08-10T12:19:00,setl_0000,wallet,captured
pay_000196,payment,ORD4195,19900,0,0,19900,2026-08-10T14:11:00,setl_0000,upi,captured
pay_000276,payment,ORD4275,19950,399,72,19479,2026-08-10T14:36:00,setl_0000,card,captured
pay_000162,payment,ORD4161,24900,0,0,24900,2026-08-10T14:57:00,setl_0000,upi,captured
pay_000152,payment,ORD4151,75000,0,0,75000,2026-08-10T15:56:00,setl_0000,upi,captured
pay_000064,payment,ORD4063,24999,1200,216,23583,2026-08-10T18:05:00,setl_0000,netbanking,captured
pay_000125,payment,ORD4124,89900,0,0,89900,2026-08-10T20:18:00,setl_9375,upi,captured
pay_000047,payment,ORD4046,29950,599,108,29243,2026-08-10T20:51:00,setl_0000,card,captured
pay_000178,payment,ORD4177,249900,0,0,249900,2026-08-10T21:04:00,setl_0000,upi,captured
pay_000069,payment,ORD4068,89900,0,0,89900,2026-08-11T08:01:00,setl_0001,upi,captured
pay_000118,payment,ORD4117,120000,2400,432,117168,2026-08-11T08:50:00,setl_0001,card,captured
pay_000284,payment,ORD4283,120000,0,0,120000,2026-08-11T08:56:00,setl_0001,upi,captured
pay_000252,payment,ORD4251,49900,0,0,49900,2026-08-11T09:52:00,setl_0001,upi,captured
pay_000067,payment,ORD4066,575000,0,0,575000,2026-08-11T10:12:00,setl_0001,upi,captured
rfnd_000303,refund,ORD4078,-24999,450,81,-25530,2026-08-11T12:19:00,,wallet,processed
pay_000022,payment,ORD4021,1250000,0,0,1250000,2026-08-11T15:57:00,setl_0001,upi,captured
pay_000002,payment,ORD4001,59950,0,0,59950,2026-08-11T16:13:00,setl_0001,upi,captured
pay_000128,payment,ORD4127,249900,0,0,249900,2026-08-11T17:09:00,setl_0001,upi,captured
pay_000004,payment,ORD4003,34900,698,126,34076,2026-08-11T17:37:00,setl_0001,card,captured
pay_000199,payment,ORD4198,89900,0,0,89900,2026-08-11T19:50:00,setl_0001,upi,captured
pay_000061,payment,ORD4060,29950,1200,216,28534,2026-08-11T20:11:00,setl_0001,netbanking,captured
pay_000266,payment,ORD4265,75050,0,0,75050,2026-08-11T21:18:00,setl_0001,upi,captured
pay_000014,payment,ORD4013,120050,0,0,120050,2026-08-12T08:46:00,setl_0002,upi,captured
pay_000019,payment,ORD4018,34900,0,0,34900,2026-08-12T10:09:00,setl_0002,upi,captured
pay_000017,payment,ORD4016,45000,900,162,43938,2026-08-12T10:28:00,setl_0002,card,captured
pay_000063,payment,ORD4062,29950,1200,216,28534,2026-08-12T12:03:00,setl_0002,netbanking,captured
pay_000203,payment,ORD4202,34900,628,113,34159,2026-08-12T16:00:00,setl_0002,wallet,captured
pay_000007,payment,ORD4006,75099,0,0,75099,2026-08-12T17:03:00,setl_0002,upi,captured
pay_000095,payment,ORD4094,89900,1618,291,87991,2026-08-12T17:05:00,setl_0002,wallet,captured
pay_000164,payment,ORD4163,1250000,0,0,1250000,2026-08-12T17:39:00,setl_0002,upi,captured
pay_000159,payment,ORD4158,45050,811,146,44093,2026-08-12T18:10:00,setl_0002,wallet,captured
pay_000073,payment,ORD4072,899900,0,0,899900,2026-08-12T18:47:00,setl_0002,upi,captured
pay_000012,payment,ORD4011,49900,998,180,48722,2026-08-12T20:35:00,setl_0002,card,captured
pay_000279,payment,ORD4278,29900,0,0,29900,2026-08-13T09:41:00,setl_0003,upi,captured
pay_000108,payment,ORD4107,34999,1200,216,33583,2026-08-13T10:41:00,setl_0003,netbanking,captured
pay_000146,payment,ORD4145,899900,0,0,899900,2026-08-13T14:31:00,setl_0003,upi,captured
pay_000085,payment,ORD4084,19900,398,72,19430,2026-08-13T14:53:00,setl_0003,card,captured
pay_000222,payment,ORD4221,24950,1200,216,23534,2026-08-13T14:59:00,setl_0003,netbanking,captured
pay_000235,payment,ORD4234,24950,0,0,24950,2026-08-13T15:27:00,setl_0003,upi,captured
pay_000140,payment,ORD4139,899900,17998,3240,878662,2026-08-13T15:45:00,setl_0003,card,captured
pay_000049,payment,ORD4048,45000,900,162,43938,2026-08-13T16:03:00,setl_0003,card,captured
pay_000127,payment,ORD4126,34950,0,0,34950,2026-08-13T17:31:00,setl_0003,upi,captured
pay_000208,payment,ORD4207,29900,0,0,29900,2026-08-13T17:59:00,setl_0003,upi,captured
pay_000060,payment,ORD4059,249900,0,0,249900,2026-08-13T20:14:00,setl_0003,upi,captured
pay_000184,payment,ORD4183,49950,999,180,48771,2026-08-13T20:33:00,setl_0003,card,captured
pay_000106,payment,ORD4105,45000,0,0,45000,2026-08-14T10:30:00,setl_0004,upi,captured
pay_000181,payment,ORD4180,899900,0,0,899900,2026-08-14T12:32:00,setl_0004,upi,captured
pay_000189,payment,ORD4188,59999,0,0,59999,2026-08-14T12:39:00,setl_0004,upi,captured
pay_000293,payment,ORD4292,89950,0,0,89950,2026-08-14T12:54:00,setl_0004,upi,captured
pay_000150,payment,ORD4149,399900,0,0,399900,2026-08-14T12:56:00,setl_0004,upi,captured
