order_id,order_amount_paise,currency,order_datetime,customer_id,order_status,payment_method
ORD4193,49999,INR,2026-08-10T08:41:00,CUST1227,paid,card
ORD4077,29950,INR,2026-08-10T09:16:00,CUST1201,paid,card
ORD4039,399900,INR,2026-08-10T10:37:00,CUST1305,paid,card
ORD4259,120050,INR,2026-08-10T10:53:00,CUST1238,paid,card
ORD4078,24999,INR,2026-08-10T12:19:00,CUST1384,paid,wallet
ORD4195,19900,INR,2026-08-10T14:11:00,CUST1282,paid,upi
ORD4275,19950,INR,2026-08-10T14:36:00,CUST1020,paid,card
ORD4161,24900,INR,2026-08-10T14:57:00,CUST1186,paid,upi
ORD4151,75000,INR,2026-08-10T15:56:00,CUST1150,paid,upi
ORD4063,24999,INR,2026-08-10T18:05:00,CUST1034,paid,netbanking
ORD4124,89900,INR,2026-08-10T20:18:00,CUST1102,paid,upi
ORD4046,29950,INR,2026-08-10T20:51:00,CUST1061,paid,card
ORD4177,249900,INR,2026-08-10T21:04:00,CUST1251,paid,upi
ORD4068,89900,INR,2026-08-11T08:01:00,CUST1125,paid,upi
ORD4117,120000,INR,2026-08-11T08:50:00,CUST1155,paid,card
ORD4283,120000,INR,2026-08-11T08:56:00,CUST1159,paid,upi
ORD4251,49900,INR,2026-08-11T09:52:00,CUST1176,paid,upi
ORD4066,575000,INR,2026-08-11T10:12:00,CUST1105,paid,upi
ORD4021,1250000,INR,2026-08-11T15:57:00,CUST1204,paid,upi
ORD4001,59950,INR,2026-08-11T16:13:00,CUST1046,paid,upi
ORD4127,249900,INR,2026-08-11T17:09:00,CUST1305,paid,upi
ORD4003,34900,INR,2026-08-11T17:37:00,CUST1068,paid,card
ORD4198,89900,INR,2026-08-11T19:50:00,CUST1223,paid,upi
ORD4060,29950,INR,2026-08-11T20:11:00,CUST1346,paid,netbanking
ORD4265,75050,SGD,2026-08-11T21:18:00,CUST1139,paid,upi
ORD4013,120050,INR,2026-08-12T08:46:00,CUST1197,paid,upi
ORD4018,34900,INR,2026-08-12T10:09:00,CUST1301,paid,upi
ORD4016,45000,INR,2026-08-12T10:28:00,CUST1281,paid,card
ORD4062,29950,INR,2026-08-12T12:03:00,CUST1137,paid,netbanking
ORD4202,34900,INR,2026-08-12T16:00:00,CUST1382,paid,wallet
ORD4006,75099,INR,2026-08-12T17:03:00,CUST1160,paid,upi
ORD4094,89900,INR,2026-08-12T17:05:00,CUST1067,paid,wallet
ORD4163,1250000,INR,2026-08-12T17:39:00,CUST1178,paid,upi
ORD4158,45050,INR,2026-08-12T18:10:00,CUST1341,paid,wallet
ORD4072,899900,INR,2026-08-12T18:47:00,CUST1043,paid,upi
ORD4011,49900,INR,2026-08-12T20:35:00,CUST1304,paid,card
ORD4278,29900,INR,2026-08-13T09:41:00,CUST1004,paid,upi
ORD4107,34999,INR,2026-08-13T10:41:00,CUST1254,paid,netbanking
ORD4145,899900,INR,2026-08-13T14:31:00,CUST1068,paid,upi
ORD4084,19900,INR,2026-08-13T14:53:00,CUST1348,paid,card
ORD4221,24950,INR,2026-08-13T14:59:00,CUST1012,paid,netbanking
ORD4234,24950,INR,2026-08-13T15:27:00,CUST1204,paid,upi
ORD4139,899900,INR,2026-08-13T15:45:00,CUST1220,paid,card
ORD4048,45000,INR,2026-08-13T16:03:00,CUST1259,paid,card
ORD4126,34950,INR,2026-08-13T17:31:00,CUST1340,paid,upi
ORD4207,29900,INR,2026-08-13T17:59:00,CUST1070,paid,upi
ORD4059,249900,INR,2026-08-13T20:14:00,CUST1139,paid,upi
ORD4183,49950,INR,2026-08-13T20:33:00,CUST1296,paid,card
ORD4105,45000,INR,2026-08-14T10:30:00,CUST1378,paid,upi
ORD4180,899900,INR,2026-08-14T12:32:00,CUST1134,paid,upi
ORD4188,59999,INR,2026-08-14T12:39:00,CUST1024,paid,upi
ORD4292,89950,INR,2026-08-14T12:54:00,CUST1043,paid,upi
ORD4149,399900,INR,2026-08-14T12:56:00,CUST1202,paid,upi
ORD4128,29950,INR,2026-08-14T14:03:00,CUST1364,paid,upi
ORD4097,24900,INR,2026-08-14T14:22:00,CUST1384,paid,upi
ORD4280,120000,INR,2026-08-14T15:01:00,CUST1381,paid,upi
ORD4189,19900,INR,2026-08-14T15:14:00,CUST1290,paid,upi
ORD4045,19950,INR,2026-08-14T16:09:00,CUST1311,paid,card
ORD4118,59900,INR,2026-08-14T18:16:00,CUST1153,paid,upi
ORD4112,34900,INR,2026-08-14T18:32:00,CUST1127,paid,upi
ORD4079,120050,INR,2026-08-14T18:57:00,CUST1368,paid,card
ORD4245,34950,INR,2026-08-14T20:04:00,CUST1369,paid,card
ORD4281,29900,INR,2026-08-15T08:23:00,CUST1285,paid,upi
ORD4005,34900,INR,2026-08-15T09:37:00,CUST1364,paid,upi
ORD4143,19950,INR,2026-08-15T11:26:00,CUST1166,paid,card
ORD4019,59999,INR,2026-08-15T12:18:00,CUST1289,paid,upi
ORD4169,34900,INR,2026-08-15T14:22:00,CUST1287,paid,upi
ORD4144,24900,INR,2026-08-15T14:56:00,CUST1106,paid,card
ORD4056,899900,INR,2026-08-15T19:27:00,CUST1100,paid,upi
ORD4238,399900,INR,2026-08-15T19:50:00,CUST1051,paid,upi
ORD4109,89900,INR,2026-08-16T11:05:00,CUST1188,paid,upi
ORD4297,45000,INR,2026-08-16T11:12:00,CUST1183,paid,card
ORD4092,249900,INR,2026-08-16T12:05:00,CUST1039,paid,upi
ORD4217,19900,INR,2026-08-16T12:48:00,CUST1048,paid,upi
ORD4267,120000,INR,2026-08-16T13:45:00,CUST1020,paid,card
ORD4037,49900,INR,2026-08-16T15:56:00,CUST1369,paid,card
ORD4256,75000,INR,2026-08-16T16:05:00,CUST1135,paid,card
ORD4152,120000,INR,2026-08-17T09:03:00,CUST1190,paid,wallet
ORD4116,24950,INR,2026-08-17T10:09:00,CUST1397,paid,upi
ORD4186,19900,INR,2026-08-17T10:39:00,CUST1129,paid,card
ORD4053,45000,INR,2026-08-17T14:04:00,CUST1079,paid,netbanking
ORD4123,59900,INR,2026-08-17T15:02:00,CUST1101,paid,card
ORD4223,120000,INR,2026-08-17T15:08:00,CUST1167,paid,upi
ORD4085,24999,INR,2026-08-17T15:16:00,CUST1047,paid,netbanking
ORD4226,120000,INR,2026-08-17T16:12:00,CUST1126,paid,card
ORD4087,75050,INR,2026-08-17T19:48:00,CUST1039,paid,netbanking
ORD4246,59950,INR,2026-08-17T21:09:00,CUST1389,paid,wallet
ORD4155,34900,INR,2026-08-18T08:38:00,CUST1209,paid,card
ORD4150,24950,INR,2026-08-18T11:32:00,CUST1052,paid,wallet
ORD4200,49900,INR,2026-08-18T11:41:00,CUST1136,paid,card
ORD4230,19900,INR,2026-08-18T11:56:00,CUST1223,paid,upi
ORD4242,19900,INR,2026-08-18T12:24:00,CUST1215,paid,upi
ORD4291,19900,INR,2026-08-18T12:27:00,CUST1292,paid,netbanking
ORD4099,120000,INR,2026-08-18T13:04:00,CUST1219,paid,upi
ORD4185,49900,INR,2026-08-18T14:23:00,CUST1226,paid,card
ORD4027,89900,INR,2026-08-18T15:53:00,CUST1270,paid,upi
ORD4219,43900,INR,2026-08-18T17:10:00,CUST1056,paid,upi
ORD4232,34950,INR,2026-08-18T17:47:00,CUST1300,paid,card
ORD4228,24900,INR,2026-08-18T19:06:00,CUST1075,paid,upi
ORD4248,59900,INR,2026-08-18T19:24:00,CUST1369,paid,upi
ORD4017,899900,INR,2026-08-18T19:26:00,CUST1077,paid,wallet
ORD4110,19950,INR,2026-08-18T20:36:00,CUST1381,paid,upi
ORD4287,45000,INR,2026-08-18T20:48:00,CUST1333,paid,upi
ORD4064,49999,INR,2026-08-18T21:07:00,CUST1137,paid,upi
ORD4074,45050,INR,2026-08-19T08:29:00,CUST1186,paid,upi
ORD4269,75099,INR,2026-08-19T09:00:00,CUST1030,paid,card
ORD4164,24900,INR,2026-08-19T10:33:00,CUST1385,paid,upi
ORD4159,120000,INR,2026-08-19T14:03:00,CUST1009,paid,upi
ORD4004,120000,INR,2026-08-19T14:09:00,CUST1349,paid,card
ORD4120,399900,INR,2026-08-19T15:17:00,CUST1120,paid,upi
ORD4067,45000,INR,2026-08-19T15:32:00,CUST1128,paid,card
ORD4187,49900,INR,2026-08-19T18:55:00,CUST1113,paid,card
ORD4125,75000,INR,2026-08-19T20:52:00,CUST1151,paid,upi
ORD4178,34900,INR,2026-08-19T20:58:00,CUST1312,paid,netbanking
ORD4141,120000,INR,2026-08-19T21:44:00,CUST1163,paid,upi
ORD4166,899900,INR,2026-08-20T08:38:00,CUST1364,paid,upi
ORD4000,24999,INR,2026-08-20T10:25:00,CUST1298,paid,upi
ORD4020,1250000,INR,2026-08-20T10:44:00,CUST1378,paid,card
ORD4089,45099,INR,2026-08-20T12:41:00,CUST1006,paid,card
ORD4076,89900,INR,2026-08-20T14:05:00,CUST1397,paid,upi
ORD4075,45000,INR,2026-08-20T16:20:00,CUST1000,paid,upi
ORD4098,34900,INR,2026-08-20T21:25:00,CUST1148,paid,netbanking
ORD4028,19999,INR,2026-08-21T10:44:00,CUST1329,paid,upi
ORD4222,89999,INR,2026-08-21T11:19:00,CUST1322,paid,upi
ORD4190,89900,INR,2026-08-21T12:06:00,CUST1154,paid,upi
ORD4148,75000,INR,2026-08-21T12:47:00,CUST1120,paid,upi
ORD4213,49900,INR,2026-08-21T12:59:00,CUST1308,paid,card
ORD4034,34950,INR,2026-08-21T13:05:00,CUST1104,paid,upi
ORD4057,19900,SGD,2026-08-21T13:05:00,CUST1225,paid,card
ORD4260,249900,INR,2026-08-21T14:26:00,CUST1184,paid,upi
ORD4285,29900,INR,2026-08-21T17:46:00,CUST1059,paid,wallet
ORD4286,59950,INR,2026-08-21T18:10:00,CUST1231,paid,upi
ORD4299,75000,INR,2026-08-21T21:06:00,CUST1305,paid,upi
ORD4096,75050,INR,2026-08-22T08:10:00,CUST1372,paid,upi
ORD4174,59900,INR,2026-08-22T09:04:00,CUST1226,paid,upi
ORD4022,19900,INR,2026-08-22T09:30:00,CUST1106,paid,upi
ORD4113,45000,INR,2026-08-22T14:41:00,CUST1217,paid,upi
ORD4038,24900,INR,2026-08-22T15:25:00,CUST1065,paid,upi
ORD4244,899900,INR,2026-08-22T16:14:00,CUST1084,paid,upi
ORD4103,24900,INR,2026-08-22T16:35:00,CUST1210,paid,wallet
ORD4241,1250000,INR,2026-08-22T16:48:00,CUST1028,paid,upi
ORD4206,29900,INR,2026-08-22T17:37:00,CUST1057,paid,upi
ORD4172,75000,INR,2026-08-22T18:23:00,CUST1316,paid,upi
ORD4268,1250000,INR,2026-08-22T19:35:00,CUST1204,paid,card
