settlement_id,capture_date,payout_date,total_paise,utr
setl_0000,2026-08-10,2026-08-11,1052214,RZP026028552
setl_0001,2026-08-11,2026-08-12,2739378,RZP920456183
setl_0002,2026-08-12,2026-08-13,2667386,RZP930037488
setl_0003,2026-08-13,2026-08-14,2317418,RZP869703209
setl_0004,2026-08-14,2026-08-17,1930220,RZP518327199
setl_0005,2026-08-15,2026-08-17,1503290,RZP050925774
setl_0006,2026-08-16,2026-08-17,642758,RZP130175464
setl_0007,2026-08-17,2026-08-18,656963,RZP333348984
setl_0008,2026-08-18,2026-08-19,1573684,RZP971806377
setl_0009,2026-08-19,2026-08-20,1101489,RZP993009321
setl_0010,2026-08-20,2026-08-21,2357818,RZP337148414
setl_0011,2026-08-21,2026-08-24,792115,RZP205282144
setl_0012,2026-08-22,2026-08-24,4124421,RZP156795817
setl_0013,2026-08-23,2026-08-24,465561,RZP942223418
setl_0014,2026-08-24,2026-08-25,1127830,RZP916455479
setl_0015,2026-08-25,2026-08-26,698281,RZP230421852
setl_0016,2026-08-26,2026-08-27,489650,RZP168877116
setl_0017,2026-08-27,2026-08-31,1945088,RZP613065895
setl_0018,2026-08-28,2026-08-31,103484,RZP326904716
setl_0019,2026-08-29,2026-08-31,1070010,RZP259075839
setl_0020,2026-08-30,2026-08-31,1560475,RZP903289785
setl_0021,2026-08-31,2026-09-01,1135513,RZP821740812
setl_0022,2026-09-01,2026-09-02,3026718,RZP061359097
setl_0023,2026-09-02,2026-09-03,1540620,RZP286424301
setl_0024,2026-09-03,2026-09-04,1908020,RZP245711852
setl_0025,2026-09-04,2026-09-07,2017141,RZP264390665
setl_0026,2026-09-05,2026-09-07,1939449,RZP609034878
setl_0027,2026-09-06,2026-09-07,1315614,RZP593453163
setl_0028,2026-09-07,2026-09-08,436260,RZP860113262
setl_0029,2026-09-08,2026-09-09,2806180,RZP439409908
